# Cursors in Graph
f in Hz	A in dBV
707.519531	-14.194232
708.984375	-14.246187
710.449219	-14.278626
711.914062	-14.293325
713.378906	-14.282242
714.843750	-14.271531
716.308594	-14.278820
717.773437	-14.304382
719.238281	-14.346443
720.703125	-14.367767
722.167969	-14.349745
723.632812	-14.337241
725.097656	-14.326818
726.562500	-14.350939
728.027344	-14.403420
729.492187	-14.443140
730.957031	-14.456762
732.421875	-14.461839
733.886719	-14.463436
735.351562	-14.454603
736.816406	-14.450463
738.281250	-14.431656
739.746094	-14.432362
741.210937	-14.467346
742.675781	-14.487482
744.140625	-14.518138
745.605469	-14.555637
747.070312	-14.545167
748.535156	-14.472626
750.000000	-14.243432
751.464844	-13.865637
752.929687	-13.534002
754.394531	-13.304511
755.859375	-13.204793
757.324219	-13.265852
758.789062	-13.484436
760.253906	-13.850387
761.718750	-14.264160
763.183594	-14.531236
764.648437	-14.600444
766.113281	-14.648589
767.578125	-14.701502
769.042969	-14.709074
770.507812	-14.681051
771.972656	-14.676500
773.437500	-14.653281
774.902344	-14.651667
776.367187	-14.642496
777.832031	-14.665516
779.296875	-14.677078
780.761719	-14.672772
782.226562	-14.656455
783.691406	-14.626768
785.156250	-14.619042
786.621094	-14.608842
788.085937	-14.609440
789.550781	-14.620720
791.015625	-14.633091
792.480469	-14.628024
793.945312	-14.651668
795.410156	-14.669573
796.875000	-14.692863
798.339844	-14.722125
799.804687	-14.729133
801.269531	-14.733067
802.734375	-14.732092
804.199219	-14.712814
805.664062	-14.712443
807.128906	-14.709575
808.593750	-14.724088
810.058594	-14.746374
811.523437	-14.742856
812.988281	-14.749325
814.453125	-14.758152
815.917969	-14.766536
817.382812	-14.770118
818.847656	-14.783820
820.312500	-14.773122
821.777344	-14.776858
823.242187	-14.788293
824.707031	-14.828221
826.171875	-14.855020
827.636719	-14.856159
829.101562	-14.846621
830.566406	-14.819688
832.031250	-14.824753
833.496094	-14.794160
834.960937	-14.774690
836.425781	-14.772859
837.890625	-14.774686
839.355469	-14.784729
840.820312	-14.784788
842.285156	-14.785961
843.750000	-14.779602
845.214844	-14.789201
846.679687	-14.755316
848.144531	-14.686431
849.609375	-14.511671
851.074219	-14.176182
852.539062	-13.823599
854.003906	-13.564720
855.468750	-13.435335
856.933594	-13.450396
858.398437	-13.623245
859.863281	-13.940081
861.328125	-14.336628
862.792969	-14.668005
864.257812	-14.776431
865.722656	-14.816534
867.187500	-14.835852
868.652344	-14.861132
870.117187	-14.878894
871.582031	-14.857497
873.046875	-14.843681
874.511719	-14.848938
875.976562	-14.861698
877.441406	-14.854225
878.906250	-14.864716
880.371094	-14.889185
881.835937	-14.872003
883.300781	-14.876254
884.765625	-14.891674
886.230469	-14.898040
887.695312	-14.927452
889.160156	-14.931684
890.625000	-14.963493
892.089844	-14.967721
893.554687	-14.977534
895.019531	-14.976962
896.484375	-14.957604
897.949219	-14.943268
899.414062	-14.947728
900.878906	-14.941948
902.343750	-14.942608
903.808594	-14.921467
905.273437	-14.852163
906.738281	-14.792861
908.203125	-14.740716
909.667969	-14.722302
911.132812	-14.774995
912.597656	-14.842904
914.062500	-14.940288
915.527344	-15.000052
916.992187	-14.981923
918.457031	-14.960335
919.921875	-14.944733
921.386719	-14.943968
922.851562	-14.965297
924.316406	-14.970251
925.781250	-14.948211
927.246094	-14.962936
928.710937	-14.961898
930.175781	-14.947078
931.640625	-14.923184
933.105469	-14.911144
934.570312	-14.888246
936.035156	-14.877390
937.500000	-14.874612
938.964844	-14.874861
940.429687	-14.887548
941.894531	-14.899315
943.359375	-14.902775
944.824219	-14.894410
946.289062	-14.877196
947.753906	-14.871649
949.218750	-14.789070
950.683594	-14.542058
952.148437	-14.231796
953.613281	-13.962953
955.078125	-13.813299
956.542969	-13.801265
958.007812	-13.918075
959.472656	-14.166415
960.937500	-14.495273
962.402344	-14.763289
963.867187	-14.865503
965.332031	-14.889513
966.796875	-14.921718
968.261719	-14.937597
969.726562	-14.931746
971.191406	-14.928943
972.656250	-14.936808
974.121094	-14.959185
975.585937	-14.941586
977.050781	-14.934425
978.515625	-14.901489
979.980469	-14.856825
981.445312	-14.823959
982.910156	-14.807887
984.375000	-14.856866
985.839844	-14.903538
987.304687	-14.921809
988.769531	-14.933880
990.234375	-14.926583
991.699219	-14.906470
993.164062	-14.869714
994.628906	-14.870935
996.093750	-14.873055
997.558594	-14.858431

