Time,X(CH1),X(CH2),
Second,Volt,Volt,
2.0390625e+01,5.44000e+00,8.64000e+00,
2.0397949e+01,5.52000e+00,8.72000e+00,
2.0405273e+01,5.52000e+00,8.96000e+00,
2.0412598e+01,5.68000e+00,8.64000e+00,
2.0419922e+01,5.52000e+00,8.80000e+00,
2.0427246e+01,5.52000e+00,8.88000e+00,
2.0434570e+01,5.52000e+00,8.48000e+00,
2.0441895e+01,5.60000e+00,8.96000e+00,
2.0449219e+01,5.52000e+00,8.72000e+00,
2.0456543e+01,5.52000e+00,8.48000e+00,
2.0463867e+01,5.60000e+00,8.96000e+00,
2.0471191e+01,5.60000e+00,8.48000e+00,
2.0478516e+01,5.60000e+00,8.64000e+00,
2.0485840e+01,5.52000e+00,8.88000e+00,
2.0493164e+01,5.60000e+00,8.40000e+00,
2.0500488e+01,5.60000e+00,8.80000e+00,
2.0507813e+01,5.60000e+00,8.72000e+00,
2.0515137e+01,5.52000e+00,8.40000e+00,
2.0522461e+01,5.60000e+00,8.80000e+00,
2.0529785e+01,5.60000e+00,8.64000e+00,
2.0537109e+01,5.60000e+00,8.48000e+00,
2.0544434e+01,5.60000e+00,8.88000e+00,
2.0551758e+01,5.68000e+00,8.40000e+00,
2.0559082e+01,5.60000e+00,8.64000e+00,
2.0566406e+01,5.60000e+00,8.72000e+00,
2.0573730e+01,5.60000e+00,8.32000e+00,
2.0581055e+01,5.60000e+00,8.64000e+00,
2.0588379e+01,5.52000e+00,8.56000e+00,
2.0595703e+01,5.60000e+00,8.32000e+00,
2.0603027e+01,5.68000e+00,8.72000e+00,
2.0610352e+01,5.68000e+00,8.40000e+00,
2.0617676e+01,5.68000e+00,8.32000e+00,
2.0625000e+01,5.68000e+00,8.72000e+00,
2.0632324e+01,5.60000e+00,8.24000e+00,
2.0639648e+01,5.68000e+00,8.48000e+00,
2.0646973e+01,5.60000e+00,8.56000e+00,
2.0654297e+01,5.60000e+00,8.16000e+00,
2.0661621e+01,5.68000e+00,8.56000e+00,
2.0668945e+01,5.68000e+00,8.40000e+00,
2.0676270e+01,5.60000e+00,8.16000e+00,
2.0683594e+01,5.60000e+00,8.56000e+00,
2.0690918e+01,5.68000e+00,8.24000e+00,
2.0698242e+01,5.60000e+00,8.24000e+00,
2.0705566e+01,5.68000e+00,8.48000e+00,
2.0712891e+01,5.68000e+00,8.16000e+00,
2.0720215e+01,5.68000e+00,8.40000e+00,
2.0727539e+01,5.68000e+00,8.40000e+00,
2.0734863e+01,5.68000e+00,8.08000e+00,
2.0742188e+01,5.68000e+00,8.40000e+00,
2.0749512e+01,5.68000e+00,8.16000e+00,
2.0756836e+01,5.68000e+00,8.00000e+00,
2.0764160e+01,5.68000e+00,8.40000e+00,
2.0771484e+01,5.68000e+00,8.00000e+00,
2.0778809e+01,5.68000e+00,8.16000e+00,
2.0786133e+01,5.68000e+00,8.32000e+00,
2.0793457e+01,5.68000e+00,7.92000e+00,
2.0800781e+01,5.68000e+00,8.24000e+00,
2.0808105e+01,5.68000e+00,8.24000e+00,
2.0815430e+01,5.76000e+00,7.92000e+00,
2.0822754e+01,5.68000e+00,8.32000e+00,
2.0830078e+01,5.68000e+00,8.00000e+00,
2.0837402e+01,5.68000e+00,7.92000e+00,
2.0844727e+01,5.68000e+00,8.32000e+00,
2.0852051e+01,5.68000e+00,7.84000e+00,
2.0859375e+01,5.68000e+00,8.08000e+00,
2.0866699e+01,5.76000e+00,8.16000e+00,
2.0874023e+01,5.68000e+00,7.76000e+00,
2.0881348e+01,5.68000e+00,8.16000e+00,
2.0888672e+01,5.68000e+00,8.08000e+00,
2.0895996e+01,5.68000e+00,7.76000e+00,
2.0903320e+01,5.68000e+00,8.16000e+00,
2.0910645e+01,5.68000e+00,7.84000e+00,
2.0917969e+01,5.68000e+00,7.84000e+00,
2.0925293e+01,5.68000e+00,8.16000e+00,
2.0932617e+01,5.68000e+00,7.76000e+00,
2.0939941e+01,5.76000e+00,8.00000e+00,
2.0947266e+01,5.68000e+00,8.08000e+00,
2.0954590e+01,5.68000e+00,7.68000e+00,
2.0961914e+01,5.68000e+00,8.00000e+00,
2.0969238e+01,5.76000e+00,7.84000e+00,
2.0976563e+01,5.76000e+00,7.68000e+00,
2.0983887e+01,5.68000e+00,8.08000e+00,
2.0991211e+01,5.76000e+00,7.68000e+00,
2.0998535e+01,5.68000e+00,7.76000e+00,
2.1005859e+01,5.76000e+00,8.00000e+00,
2.1013184e+01,5.76000e+00,7.52000e+00,
2.1020508e+01,5.76000e+00,7.84000e+00,
2.1027832e+01,5.76000e+00,7.84000e+00,
2.1035156e+01,5.76000e+00,7.52000e+00,
2.1042480e+01,5.68000e+00,7.92000e+00,
